x_val,y_val,z_val,tag
6.91869,15.6858,1.44652,1
6.84376,15.6556,1.37624,1
6.78226,15.6152,1.38612,1
6.62912,15.6348,1.8211,1
6.29939,15.5567,1.2926,1
5.96463,15.5465,1.05803,1
5.659,15.5978,1.06241,1
5.36775,15.6247,1.05238,1
5.12642,15.6068,0.812045,1
4.89025,15.6715,0.655872,1
4.59621,15.6533,0.376751,1
4.38186,15.7226,0.35957,1
4.23611,15.8535,0.647234,1
4.08473,15.9743,0.693969,1
3.886,15.9105,0.300897,1
3.73731,16.0432,0.478078,1
3.54917,16.0183,0.329182,1
3.3066,15.8934,0.192022,1
3.09872,15.8168,0.104227,1
2.96533,15.7102,-0.218732,1
2.72759,15.583,-0.328697,1
2.71265,15.7606,0.183376,1
2.53195,15.5233,0.0398035,1
2.30847,15.3927,0.104004,1
2.26016,15.1646,0.0746963,1
2.05821,15.0293,0.375487,1
2.08853,14.8137,0.354139,1
2.20615,14.5212,0.187642,1
2.35182,14.1693,0.0525516,1
2.16912,13.9816,0.348398,1
2.32466,13.6848,0.241451,1
2.14871,13.4776,0.524236,1
1.88114,13.3161,1.4064,1
1.97797,13.0435,1.21993,1
2.23886,12.7341,0.957459,1
2.46927,12.4223,0.797599,1
2.46506,12.2574,0.86483,1
2.47745,12.0161,0.819381,1
2.43651,11.7344,0.823005,1
2.31936,11.4874,0.978974,1
2.24637,11.2387,1.03861,1
2.11872,10.9771,1.11849,1
2.15666,10.8369,1.29367,1
2.20092,10.6892,1.50724,1
2.21765,10.431,1.54583,1
2.35238,10.3456,1.67253,1
2.62584,10.3432,1.63539,1
2.64309,10.1767,1.51121,1
2.8389,10.1408,1.57207,1
3.18808,10.0457,1.51707,1
3.40214,9.93865,1.48666,1
3.59947,9.76376,1.40142,1
3.87115,9.80137,1.25415,1
4.23013,9.93741,1.31048,1
4.54177,9.97447,1.33298,1
4.85555,9.99308,2.32974,1
5.13815,10.0069,3.04748,1
5.43544,10.0591,3.44734,1
5.72669,10.112,3.70809,1
6.03171,10.2634,3.78211,1
6.35485,10.3598,3.76265,1
6.62895,10.5806,3.78836,1
7.08377,11.3881,3.61822,1
7.26618,12.1396,2.75566,1
7.43551,13.3509,1.83332,1
7.69694,14.2097,1.6744,1
7.84175,14.8323,1.52529,1
7.79843,15.3033,1.45854,1
7.62698,15.4476,0.598131,1
7.51996,15.7696,1.24795,1
