x_val,y_val,z_val,tag
3.91332,15.0898,0.271007,10
3.82297,15.2358,0.528562,10
3.76422,15.3938,1.02998,10
3.62012,15.4669,0.776798,10
3.40102,15.2307,0.0254799,10
3.32347,15.5419,0.759271,10
3.12324,15.3619,0.295037,10
2.87179,15.1787,0.206767,10
2.74127,15.1889,0.193949,10
2.70245,15.09,-0.286978,10
2.39888,14.9841,-0.139731,10
2.60019,15.4308,0.859317,10
2.26836,14.8159,0.028942,10
2.04507,14.8429,0.288739,10
2.17725,14.5818,0.164494,10
1.84822,14.5849,0.719758,10
2.09476,14.3422,0.35194,10
2.24153,14.0494,0.0868442,10
2.34475,13.7342,0.0383558,10
1.84951,13.7666,0.705498,10
2.31182,13.4232,0.19242,10
1.82555,13.353,0.804721,10
1.54253,13.2633,2.04271,10
1.99761,12.9279,0.759257,10
2.33635,12.6502,0.526971,10
2.44289,12.4078,0.561836,10
2.18011,12.4227,0.869918,10
2.21076,12.1409,0.723534,10
2.13231,11.8721,0.783648,10
1.9776,11.7089,1.05615,10
1.98178,11.5042,0.992572,10
1.83877,11.2778,1.07181,10
2.04217,11.2779,1.29809,10
2.07317,11.132,1.48841,10
2.04888,10.8026,1.33327,10
2.26341,10.8989,1.52742,10
2.5934,10.9523,1.33955,10
2.32644,10.6295,1.17802,10
2.65789,10.7197,1.43353,10
3.0655,10.5663,1.27917,10
3.07098,10.4585,1.29202,10
3.20104,10.2476,1.18082,10
3.48453,10.4835,1.01873,10
3.84159,10.6593,1.27827,10
4.02317,10.5566,1.25264,10
4.26475,10.536,2.96851,10
4.45359,10.5323,3.13466,10
4.70497,10.6031,3.06673,10
4.93145,10.6347,3.12537,10
5.18986,10.84,3.01867,10
5.46605,10.8434,2.95315,10
5.63765,11.1279,3.0643,10
6.18038,12.3064,2.77564,10
6.04966,12.7506,1.48212,10
6.19616,14.0756,0.831371,10
6.51824,14.3008,1.56068,10
6.53187,14.5205,1.44608,10
6.34174,14.7513,1.45439,10
6.13055,14.5823,-0.0139381,10
6.16537,15.0802,2.03039,10
5.59074,15.0942,0.937861,10
5.48354,15.1953,1.22809,10
4.56834,15.6071,1.29989,10
5.15254,15.0554,0.624488,10
5.04456,15.3369,2.05497,10
4.73244,15.3127,1.099,10
4.6875,15.2125,0.763413,10
4.31193,15.2056,0.572609,10
4.08725,15.3697,0.783906,10
4.02616,15.35,0.529937,10
3.91854,15.342,0.260968,10
3.53989,15.6199,0.835105,10
3.52047,15.8448,0.994793,10
3.10417,15.3172,-0.153021,10
3.24398,16.121,2.04867,10
3.12377,16.2574,2.08073,10
2.52616,15.3972,0.00398427,10
2.23832,15.2871,-0.023525,10
2.0479,15.1626,0.0673888,10
2.06094,14.9995,0.155438,10
1.87777,14.5954,0.0161904,10
1.89121,14.5134,0.335025,10
1.76109,14.3867,0.513044,10
1.92734,13.9654,0.165818,10
1.82224,13.69,0.198224,10
1.94788,13.6252,0.441222,10
1.45752,12.3574,-0.560426,10
1.9,13.0509,0.484362,10
1.86911,12.901,0.681279,10
1.87925,12.6441,0.588931,10
1.69172,12.5703,1.06082,10
1.79872,12.2144,0.865956,10
1.68857,12.0824,1.34616,10
1.66787,11.8479,1.45168,10
1.59652,11.4715,1.15715,10
1.56622,11.2394,1.15497,10
1.39714,11.1788,1.76814,10
1.37526,10.8062,2.0766,10
1.41428,10.5664,1.91114,10
1.34351,10.3654,2.07596,10
1.32103,10.134,2.07888,10
1.21699,9.90838,2.07837,10
1.27996,9.59096,2.08177,10
1.23971,9.40129,2.08174,10
1.15124,9.14172,2.08033,10
1.20319,8.89106,2.07904,10
1.42486,8.64513,2.07937,10
1.62229,8.68295,2.07954,10
1.90823,8.36656,2.59508,10
2.95933,8.77991,2.08864,10
